source,path,ext,size_bytes,manifest_file,is_music,genre,sample_id
cc0_audio_clean,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Daniel Veesey - Sonata No. 07 in D Major, Op. 10 No. 3 - IV. Rondo Allegro.mp3",.mp3,10005014,cc0_audio_clean.csv,,baroque_classical,0
phase1_pdmx,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\Qmc7RShoqv2UCa4Sm7n1ghUh2RkkD2WbxnGnxMtPZPw9nV.wav,.wav,6703148,phase1_symbolic_audio_manifest.csv,1.0,baroque_classical,1
phase1_pdmx,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmbALGjAHYytkQDyKCVH15Mk8euggFacsgjvsCfuHij9qr.wav,.wav,9758764,phase1_symbolic_audio_manifest.csv,1.0,baroque_classical,2
phase1_pdmx,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\Qma2HvSgZhELxGtTD9gnnVdqdarhChegyNoaAFKqoN64rF.wav,.wav,37417004,phase1_symbolic_audio_manifest.csv,1.0,baroque_classical,3
phase1_pdmx,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmZHbbXJTDQ9duRsyfMF1cnoUaL2W392P6gTbBT36aXyW6.wav,.wav,5070892,phase1_symbolic_audio_manifest.csv,1.0,baroque_classical,4
cc0_audio_clean,Z:\DataSets\CC0-1.0-Music\freesound.org\707454__younoise__melted-snow-baroque-ambient.wav,.wav,25588354,cc0_audio_clean.csv,,baroque_classical,5
phase1_pdmx,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmY76eqoMs86vycN6eFwPiAQSYSBwhgT6STmAspLBSowi2.wav,.wav,6697004,phase1_symbolic_audio_manifest.csv,1.0,baroque_classical,6
phase1_pdmx,Z:\DataSets\rendered\phase1_symbolic_audio\pdmx\QmRqZjk6PF1TkXxg8vJVHduiSfzJVyUoCqk5sr8L1Z483s.wav,.wav,6400044,phase1_symbolic_audio_manifest.csv,1.0,baroque_classical,7
cc0_audio_clean,Z:\DataSets\CC0-1.0-Music\chosic.com\Karine_Gilanyan_-_Beethoven_-_Piano_Sonata_nr15_in_D_major_op28_Pastoral_-_IV_Rondo_Allegro_ma_non_troppo(chosic.com).mp3,.mp3,5940884,cc0_audio_clean.csv,,baroque_classical,8
cc0_audio_clean,"Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Daniel Veesey - Sonata No. 32 in C Minor, Op. 111 - I. Maestoso - Allegro con brio ed appassionato.mp3",.mp3,22126747,cc0_audio_clean.csv,,baroque_classical,9
cc0_audio_clean,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Tadz - TLC & THC.mp3,.mp3,3562003,cc0_audio_clean.csv,,cc0_other,10
cc0_audio_clean,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Zoliborz - The Call of the Polar Star.mp3,.mp3,11169968,cc0_audio_clean.csv,,cc0_other,11
cc0_audio_clean,Z:\DataSets\CC0-1.0-Music\chosic.com\Soft_and_Furious_-_10_-_Melancholic_Ending(chosic.com).mp3,.mp3,10006035,cc0_audio_clean.csv,,cc0_other,12
cc0_audio_clean,Z:\DataSets\CC0-1.0-Music\freemusicarchive.org\Monplaisir - A vault.mp3,.mp3,6659478,cc0_audio_clean.csv,,cc0_other,13
